mall_name	mall_brand_name_ko	mall_brand_name_en	buyma_brand_id	buyma_brand_name	mapping_level	is_mapped	mall_brand_url	is_active	mall_brand_no	created_at
luxlimit	셀프포트레이트	SELF PORTRAIT	6409	SELF PORTRAIT(セルフ・ポートレイト)	0	0	\N	1	\N	2026-04-22 14:43:19
luxlimit	에센셜	FEAR OF GOD	4749	FEAR OF GOD(フィアオブゴッド)	0	0	\N	1	\N	2026-04-22 14:39:38
luxlimit	할리데이비슨	Harley Davidson	3553	Harley Davidson(ハーレーダビッドソン)	0	0	\N	1	\N	2026-04-22 14:38:53
luxlimit	요넥스	YONEX	4033	YONEX(ヨネックス)	0	0	\N	1	\N	2026-04-22 14:37:10
luxlimit	고야드	Goyard	202	GOYARD(ゴヤール)	0	0	\N	1	\N	2026-04-22 14:36:02
luxlimit	마샬	마샬	\N	\N	0	0	\N	0	\N	2026-04-22 14:29:41
luxlimit	루이비통	Louis Vuitton	246	Louis Vuitton(ルイヴィトン)	0	0	\N	1	\N	2026-04-22 13:52:48
luxlimit	까르띠에	Cartier	153	Cartier(カルティエ)	0	0	\N	1	\N	2026-04-22 13:32:40
luxlimit	슈프림	슈프림	\N	\N	0	0	\N	0	\N	2026-04-22 13:24:42
luxlimit	반클리프앤아펠	Van Cleef & Arpels	1886	Van Cleef & Arpels(ヴァン クリーフアンドアーペル)	0	0	\N	1	\N	2026-04-22 13:17:38
luxlimit	부쉐론	부쉐론	1888	BOUCHERON(ブシュロン)	0	0	\N	1	\N	2026-04-22 13:14:39
luxlimit	불가리	Bvlgari	465	Bvlgari(ブルガリ)	0	0	\N	1	\N	2026-04-22 13:01:17
luxlimit	산타마리아노벨라	Santa Maria Novella	42	Santa Maria Novella(サンタマリアノヴェッラ)	0	0	\N	1	\N	2026-04-22 12:49:47
luxlimit	불리	불리	\N	\N	0	0	\N	0	\N	2026-04-22 12:48:20
luxlimit	르라보	LELABO	1684	LELABO(ルラボ)	0	0	\N	1	\N	2026-04-22 12:46:07
luxlimit	조 말론 런던	Jo Malone	32	Jo Malone(ジョーマローン)	0	0	\N	1	\N	2026-04-22 12:43:56
luxlimit	바이레도	BYREDO	3831	BYREDO(バイレード)	0	0	\N	1	\N	2026-04-22 12:40:46
luxlimit	휠라	FILA	648	FILA(フィラ)	0	0	\N	1	\N	2026-04-22 12:31:45
luxlimit	아쿠아디파르마	ACQUA DI PARMA	11279	ACQUA DI PARMA(アクアディパルマ)	0	0	\N	1	\N	2026-04-22 12:25:27
luxlimit	오니츠카타이거	onitsuka tiger	8204	onitsuka tiger(オニツカタイガー)	0	0	\N	1	\N	2026-04-22 12:21:21
luxlimit	아이더	EiDER	10254	EiDER(アイダー)	0	0	\N	1	\N	2026-04-22 12:20:17
upset	클라시코	CLASSICO	17834	CLASSICO(クラシコ)	0	0	\N	1	\N	2026-04-22 12:15:48
upset	포토막	potomac	0	potomac	0	0	\N	1	\N	2026-04-22 12:12:49
upset	테바	Teva	5289	Teva(テバ)	0	0	\N	1	\N	2026-04-22 12:10:57
upset	메피스토	MEPHISTO	3637	MEPHISTO (メフィスト )	0	0	\N	1	\N	2026-04-22 12:09:19
upset	쿠거	COUGAR	0	COUGAR	0	0	\N	1	\N	2026-04-22 12:08:21
upset	이지스피릿	이지스피릿	\N	\N	0	0	\N	0	\N	2026-04-22 12:07:26
upset	비지스	비지스	\N	\N	0	0	\N	0	\N	2026-04-22 12:06:58
upset	배어트랩스	배어트랩스	\N	\N	0	0	\N	0	\N	2026-04-22 12:06:27
upset	퓨마	PUMA	295	PUMA(プーマ)	0	0	\N	1	\N	2026-04-22 12:05:21
upset	지에이치 바스	GH Bass&Co	5646	GH Bass&Co(ジー・エイチ・バス)	0	0	\N	1	\N	2026-04-22 12:02:04
upset	하리보	haribo	0	haribo	0	0	\N	1	\N	2026-04-22 11:59:52
upset	제옥스	제옥스	\N	\N	0	0	\N	0	\N	2026-04-22 11:54:30
upset	톰맥캔	thom mcan	0	thom mcan	0	0	\N	1	\N	2026-04-22 11:54:20
upset	내추럴라이저	내추럴라이저	\N	\N	0	0	\N	0	\N	2026-04-22 11:54:13
