db_id,buyma_product_id,model_no
682,127274000,PXAWV F63439 LZZ
1560,127276184,COEZD F27561 IAJ
1625,127276262,PXBMW F63412 LZZ
5177,127298311,3LO155ZPE 900
5466,127299020,3LO129ZGK 900
19813,127455527,8104883
20185,127456602,8079417
20198,127456692,8083392
21284,128243338,S3069 175
21293,128243345,A6647 252
21335,128243384,T4313 004
21348,128243396,J1743 564
21350,128243398,W0505 252
21352,128243400,A6658 943
21381,128243426,T4334 151
21389,128243434,T4335 252
21411,128243455,J1737 979
21416,128243461,A6897 099
21418,128243464,J1800 868
21421,128243468,K2569 252
21423,128243471,J1747 326
21459,128243507,J1703 077
21480,128243533,A6439 233
21499,128243553,A6617 943
21549,128243969,A6062 921
21574,128244000,K2258 271
21577,128243997,J1466 302
21578,128244017,J1480 091
21579,128244005,J1505 083
21601,128244043,A5435 482
22313,127887346,428726 DJ20T 1000
22343,127887361,443127 AAFAX 5753
22380,127887381,853971 FAFFP 2547
22678,127887677,785636 XJGLG 1160
22691,127887685,770839 XJGA2 9314
22729,127887711,760245 96IWT 8745
22778,127887744,713997 XJETR 9088
22796,127887757,745830 0YA0N 1000
23807,128222268,RW081
23819,128222275,QV307
23830,128222286,QV432
23833,128222289,QV159
23846,128222307,QV305
23859,128222314,QV156
23917,128222365,QV335
23976,128222436,PU318
23989,128222444,PU192
24002,128222462,PU216
24417,128220532,M0613ONUL 900
24532,128220576,KCK491SEF 64U
24593,128220628,KCO170OLF 10B
24662,128220667,113J698A0531 488
24684,128220698,483C116A5811 121
24723,128220759,3LO136ZJQ 900
24764,128219019,00C06Q 0DBDS 01
24773,128219028,A10229 09M12 01
24775,128219030,00C06Q 09L51 01
24790,128219039,A04092 0DAOB 1AB
24795,128219046,A03558 0ADBK 01
24796,128219047,A10229 0ADBG 01
24813,128219065,00C06Q 009ZS 01
24821,128219069,00SU1X 009ZS 01
24862,128219104,A11003 09J33 01
24863,128219106,A07018 09M21 01
24905,128219145,A11003 09L96 01
24917,128219155,A11003 0DBDQ 01
24928,128219164,A10229 0DBDT 02
24970,128219215,A11003 0DBDN 02
24973,128219221,00SU1X 0CNAA 01
24976,128219229,X09018 P0685 T8013
24995,128219251,A10229 0KIAL 01
24996,128219253,A15795 09J96 02
24999,128219255,A10229 0BMBX 01
25003,128219260,A12337 09I28 01
25016,128219277,A07018 09M22 01
25017,128219278,A07018 09M69 02
